REG,RATING,DATE,ORDER
6746666,46,25/11/2009,18
6746666,42,20/02/2009,19
6746666,59,13/11/2008,20
6799923,66,12/10/2017,1
6799923,96,21/11/2016,2
6799923,-18,01/11/2016,3
6799923,96,20/10/2015,4
6799923,96,02/09/2014,5
6799923,87,24/08/2014,6
6799923,59,04/08/2014,7
6799923,40,11/09/2013,8
6799923,52,16/10/2012,9
6799923,48,08/02/2012,10
6799923,49,10/10/2011,11
6799923,44,26/08/2010,12
6799923,15,25/08/2010,13
6799923,46,11/02/2010,14
6799923,42,20/02/2009,15
6799923,59,27/01/2009,16
6837697,60,29/11/2017,1
6837697,79,20/12/2016,2
6837697,80,17/06/2015,3
6837697,75,19/12/2014,4
6837697,71,02/09/2014,5
6837697,66,24/08/2014,6
6837697,31,30/12/2013,7
6837697,12,23/12/2013,8
6837697,4,21/12/2013,9
6837697,12,10/11/2012,10
6837697,52,27/12/2011,11
6837697,-34,13/10/2010,12
6837697,-3,07/10/2010,13
6837697,28,14/04/2010,14
6837697,29,12/04/2010,15
6837697,27,09/03/2009,16
6892362,55,21/01/2018,1
6892362,96,20/12/2016,2
6892362,80,30/01/2016,3
6892362,76,02/09/2014,4
6892362,70,24/08/2014,5
6892362,59,30/05/2014,6
6892362,58,21/08/2013,7
6892362,50,20/08/2013,8
6892362,51,05/12/2012,9
6892362,39,20/01/2012,10
6892362,54,02/02/2011,11
6892362,5,31/01/2011,12
6892362,29,25/10/2010,13
6892362,45,18/05/2010,14
6892362,46,17/05/2010,15
6892362,32,26/04/2010,16
6892362,46,19/05/2009,17
6892362,-9,07/05/2009,18
6892362,41,04/05/2009,19
6943607,50,01/05/2018,1
6943607,56,12/01/2018,2
6943607,50,11/01/2018,3
6943607,56,03/10/2017,4
6943607,55,02/10/2017,5
6943607,-18,01/10/2017,6
6943607,55,07/07/2017,7
6943607,60,24/11/2016,8
6943607,55,30/09/2016,9
6943607,60,18/03/2016,10
6943607,65,06/10/2015,11
6943607,58,02/10/2015,12
6943607,-18,01/10/2015,13
6943607,58,23/07/2015,14
6943607,45,05/10/2014,15
6943607,25,02/09/2014,16
6943607,19,24/08/2014,17
6943607,70,30/12/2013,18
6943607,69,31/08/2013,19
6943607,70,08/10/2012,20
6943607,14,04/10/2012,21
6943607,4,22/09/2012,22
6943607,14,28/07/2012,23
6943607,57,29/06/2012,24
